Tag_Name,Tag_Occurence_Count,Category_ID
Miami,4,touristplace
"Chicago,",4,touristplace
Philadelphia,4,touristplace
Dallas,4,touristplace
D.C.,4,touristplace
Denver,4,touristplace
Chicago,3,touristplace
"Vegas,",3,touristplace
"Washington,",3,touristplace
Atlanta,3,touristplace
Sedona,3,touristplace
Boston,2,touristplace
Milan,2,touristplace
Nevada,2,touristplace
Washington,2,touristplace
Louis,2,touristplace
"Atlanta,",2,touristplace
"Georgia,",2,touristplace
Seattle,2,touristplace
Orleans,2,touristplace
Tampa,2,touristplace
Nashville,2,touristplace
Natchez,2,touristplace
Maine,2,touristplace
Antonio,2,touristplace
